,user_id,Experience_score,Engagement_score,Satisfactory_score
8066,33658805373.0,0.40370057851593444,0.8774666469831597,0.640583612749547
8135,33764423706.0,0.26576063323100074,0.9450972561084048,0.6054289446697028
8164,33672381899.0,0.41065020087585924,0.12393710253556622,0.26729365170571273
8176,33699249287.0,0.35530364541310333,0.9850938186612315,0.6701987320371674
8222,33665644501.0,0.12201348207091267,0.9302599656860172,0.5261367238784649
8276,33680529171.0,0.1157509851912426,0.8831797494920628,0.4994653673416527
8414,33668858475.0,0.6742461563828599,0.24723464245187135,0.4607403994173656
8441,33763469011.0,0.39608939034676194,0.92844472740947,0.662267058878116
8478,33609014033.0,0.7423603547103983,0.22341533360248553,0.4828878441564419
8579,33671593265.0,0.5359742377283077,0.9342332314170826,0.7351037345726952
8595,33786525799.0,0.12947708873148822,0.887712772999041,0.5085949308652646
8657,33614843717.0,0.1593892703177331,0.94499111864645,0.5521901944820915
8699,33620522248.0,0.5918983996460812,0.9325933243546661,0.7622458620003736
8752,33758317432.0,0.3100538371173245,0.9269857536807584,0.6185197953990414
8772,33659541621.0,0.15537486376862542,0.865312772000635,0.5103438178846302
8824,33608406940.0,0.18333408030530185,0.8719991293001556,0.5276666048027288
8949,33671473709.0,0.28265310162825363,0.17953967357426304,0.23109638760125834
9060,33616931039.0,0.3847271974363895,0.8813816203904308,0.6330544089134101
9089,33646194126.0,0.3408391351645379,0.9308115473893509,0.6358253412769443
9232,33609770831.0,0.2142933673377292,0.15701914584664892,0.18565625659218904
9343,33663162677.0,0.31981033572320006,0.8931415300657356,0.6064759328944678
9452,33630160655.0,0.507784097341236,0.9815940077753844,0.7446890525583102
9476,33667773067.0,0.3866669278605608,0.8884375661960844,0.6375522470283226
9478,33670292812.0,0.9024308228945763,0.04053237125484597,0.47148159707471116
9522,33687369788.0,0.15427009883234044,0.8788989727918044,0.5165845358120724
9543,33650627152.0,0.2256107233983513,0.9209188091690305,0.5732647662836909
9577,33605639567.0,0.3557532525540408,0.9256197448616528,0.6406864987078468
9697,33661271909.0,0.49041653928990736,0.13763913591009386,0.31402783760000064
9745,33660232707.0,0.6644512746188918,0.9608490547566417,0.8126501646877667
9868,33667207369.0,0.7606462308820192,0.959949687390327,0.8602979591361731
9877,33698460854.0,0.06353766103820147,0.9225363077520712,0.4930369843951363
9901,33665244227.0,0.72871177583261,0.9860587459713959,0.857385260902003
9920,33675169727.0,0.16111064740507097,0.9860757037399095,0.5735931755724902
9933,33698875397.0,0.21803798737963387,0.9805068936866281,0.599272440533131
9939,33660575751.0,0.35629891124065427,0.9305979097875391,0.6434484105140967
10078,33612944154.0,0.8129860501935817,0.8754392851883684,0.8442126676909751
10102,33613805965.0,0.01235815353201608,0.944161702074989,0.4782599278035025
10243,33668711917.0,0.41917986340368096,0.22671301443070782,0.3229464389171944
10251,33621598895.0,0.42592394640192066,0.8857209922370872,0.6558224693195039
10284,33763327955.0,0.22968933682738002,0.15196815195128224,0.19082874438933112
10298,33664998816.0,0.32097289375435545,0.8809593416716187,0.600966117712987
10348,33665986410.0,0.11778709998593051,0.9106631444176483,0.5142251222017894
10367,33660687341.0,0.6256567967379205,0.20534637411189205,0.4155015854249063
10417,33672707040.0,0.2016078967266064,0.9066184138024609,0.5541131552645336
10438,33699512088.0,0.6322787878074756,0.9373601228076327,0.7848194553075541
10539,33635591644.0,0.01949427151345451,0.9606351143376868,0.49006469292557064
10553,33658524258.0,0.7095719349733942,0.19278096815477141,0.4511764515640828
10566,33666213033.0,0.6089190530820374,0.983187280972551,0.7960531670272942
10637,33761321476.0,0.40079740836353617,0.886185816785877,0.6434916125747066
10722,33658996488.0,0.3535180626534562,0.9455561757192215,0.6495371191863388
10741,33765740707.0,0.5477923777194882,0.9122589915644963,0.7300256846419922
